Order ID,Order Date,Category,Sub-Category,Region,Ship Mode,Sales,Quantity,Discount,Profit,Customer ID
ORD-00587,2024-01-01,Furniture,Tables,South,Standard Class,396.08,10,0.13,-46.68,CUST-1898
ORD-02952,2024-01-01,Office Supplies,Art,East,Standard Class,703.9,8,0.22,-69.3,CUST-1119
ORD-02638,2024-01-02,Furniture,Chairs,Central,Standard Class,397.59,8,0.1,150.18,CUST-1732
ORD-03185,2024-01-02,Furniture,Furnishings,East,First Class,501.4,6,0.01,-78.78,CUST-1381
ORD-02193,2024-01-03,Furniture,Furnishings,West,First Class,535.57,9,0.27,38.12,CUST-1705
ORD-00338,2024-01-03,Furniture,Furnishings,South,Same Day,969.41,7,0.15,2.45,CUST-1559
ORD-01784,2024-01-03,Furniture,Bookcases,West,Same Day,825.26,2,0.07,48.34,CUST-1145
ORD-00159,2024-01-04,Technology,Copiers,West,Same Day,195.44,2,0.16,-1.89,CUST-1976
ORD-02048,2024-01-04,Technology,Accessories,West,Standard Class,301.48,8,0.26,81.83,CUST-1312
ORD-02346,2024-01-05,Office Supplies,Binders,South,First Class,179.78,8,0.12,-30.7,CUST-1570
ORD-02021,2024-01-05,Technology,Machines,East,Second Class,944.94,5,0.21,106.03,CUST-1193
ORD-02899,2024-01-06,Technology,Copiers,East,Same Day,410.87,4,0.09,-78.5,CUST-1215
ORD-01891,2024-01-06,Technology,Accessories,West,Standard Class,501.98,1,0.21,-113.24,CUST-1751
ORD-01833,2024-01-06,Office Supplies,Storage,West,First Class,278.78,8,0.08,29.13,CUST-1107
ORD-02371,2024-01-06,Office Supplies,Storage,South,First Class,937.08,7,0.17,375.31,CUST-1156
ORD-01616,2024-01-06,Technology,Accessories,East,First Class,419.22,6,0.06,-72.7,CUST-1741
ORD-01918,2024-01-07,Office Supplies,Art,West,First Class,879.5,7,0.01,164.79,CUST-1995
ORD-02147,2024-01-08,Technology,Accessories,West,Standard Class,939.1,9,0.14,-68.08,CUST-1327
ORD-01435,2024-01-08,Office Supplies,Paper,West,First Class,719.81,7,0.1,79.99,CUST-1487
ORD-00811,2024-01-09,Furniture,Tables,South,Same Day,764.84,9,0.02,300.85,CUST-1666
ORD-03044,2024-01-09,Furniture,Tables,West,First Class,138.34,5,0.01,0.79,CUST-1479
ORD-03157,2024-01-09,Office Supplies,Art,Central,Standard Class,813.17,6,0.17,-174.91,CUST-1992
ORD-00573,2024-01-09,Office Supplies,Binders,East,Standard Class,472.21,1,0.03,143.34,CUST-1763
ORD-01800,2024-01-12,Office Supplies,Paper,West,Same Day,165.02,8,0.28,44.04,CUST-1910
ORD-00958,2024-01-12,Office Supplies,Paper,East,Second Class,292.05,3,0.12,75.85,CUST-1922
ORD-02340,2024-01-12,Office Supplies,Storage,Central,Second Class,681.02,6,0.26,61.56,CUST-1884
ORD-02628,2024-01-13,Office Supplies,Art,South,Same Day,859.39,3,0.11,299.22,CUST-1298
ORD-02393,2024-01-15,Office Supplies,Storage,Central,Standard Class,714.06,5,0.14,158.79,CUST-1808
ORD-02708,2024-01-17,Furniture,Furnishings,West,Standard Class,180.49,10,0.23,21.36,CUST-1713
ORD-02009,2024-01-17,Furniture,Bookcases,Central,First Class,169.9,3,0.14,35.0,CUST-1436
ORD-02882,2024-01-17,Furniture,Tables,Central,Second Class,70.42,2,0.12,-9.09,CUST-1038
ORD-02101,2024-01-17,Office Supplies,Paper,West,Standard Class,445.18,1,0.08,-22.18,CUST-1922
ORD-03139,2024-01-18,Technology,Phones,South,Second Class,501.48,5,0.18,199.1,CUST-1870
ORD-00813,2024-01-18,Furniture,Furnishings,Central,Second Class,450.13,4,0.22,107.7,CUST-1696
ORD-00501,2024-01-19,Furniture,Furnishings,West,Standard Class,773.09,4,0.05,-166.63,CUST-1633
ORD-02424,2024-01-19,Technology,Machines,Central,Standard Class,863.4,6,0.25,163.21,CUST-1129
ORD-03282,2024-01-19,Furniture,Chairs,East,First Class,604.96,7,0.19,-93.04,CUST-1508
ORD-01059,2024-01-20,Office Supplies,Binders,Central,Second Class,470.72,6,0.27,51.31,CUST-1394
ORD-01085,2024-01-20,Technology,Copiers,South,First Class,493.42,4,0.14,-111.97,CUST-1017
ORD-01917,2024-01-20,Office Supplies,Art,West,Standard Class,775.13,1,0.06,304.43,CUST-1121
ORD-01942,2024-01-21,Technology,Accessories,East,Second Class,45.75,4,0.29,-2.55,CUST-1731
ORD-02031,2024-01-21,Furniture,Chairs,West,Second Class,261.1,8,0.13,65.25,CUST-1125
ORD-00981,2024-01-22,Office Supplies,Paper,Central,Second Class,263.43,1,0.16,106.88,CUST-1796
ORD-03003,2024-01-22,Furniture,Tables,West,First Class,578.9,1,0.13,188.33,CUST-1416
ORD-02553,2024-01-22,Office Supplies,Binders,East,First Class,849.94,3,0.27,-166.95,CUST-1542
ORD-00826,2024-01-22,Office Supplies,Storage,South,Same Day,881.14,10,0.03,188.67,CUST-1691
ORD-01509,2024-01-23,Office Supplies,Binders,East,First Class,529.32,5,0.18,-127.14,CUST-1901
ORD-02939,2024-01-23,Office Supplies,Art,West,First Class,961.12,4,0.02,-94.97,CUST-1922
ORD-00013,2024-01-24,Technology,Phones,Central,Standard Class,120.44,7,0.05,-34.03,CUST-1739
ORD-02999,2024-01-24,Technology,Phones,Central,Second Class,919.22,4,0.07,-30.8,CUST-1540
ORD-02299,2024-01-24,Furniture,Furnishings,South,Second Class,833.16,8,0.01,23.04,CUST-1000
ORD-00211,2024-01-24,Office Supplies,Art,West,First Class,671.11,8,0.09,14.86,CUST-1514
ORD-00522,2024-01-24,Technology,Machines,East,Standard Class,529.14,6,0.16,-80.16,CUST-1514
ORD-01648,2024-01-24,Furniture,Chairs,East,First Class,329.27,10,0.02,80.79,CUST-1492
ORD-00929,2024-01-24,Furniture,Chairs,East,First Class,494.33,9,0.07,77.91,CUST-1586
ORD-00851,2024-01-25,Office Supplies,Paper,South,Second Class,234.66,4,0.14,22.74,CUST-1804
ORD-02455,2024-01-25,Technology,Machines,East,Same Day,600.41,10,0.26,-85.33,CUST-1279
ORD-02131,2024-01-25,Technology,Copiers,West,Second Class,676.6,1,0.22,-107.01,CUST-1589
ORD-00986,2024-01-25,Technology,Phones,South,Same Day,30.51,1,0.23,5.06,CUST-1044
ORD-02316,2024-01-25,Furniture,Bookcases,West,Standard Class,629.56,6,0.14,246.28,CUST-1178
ORD-02642,2024-01-25,Furniture,Furnishings,Central,Same Day,289.01,2,0.15,86.6,CUST-1562
ORD-01283,2024-01-25,Office Supplies,Art,South,Same Day,622.28,3,0.29,95.03,CUST-1601
ORD-02408,2024-01-25,Furniture,Furnishings,East,Same Day,841.95,5,0.16,-194.92,CUST-1010
ORD-00306,2024-01-26,Furniture,Chairs,South,Standard Class,389.15,3,0.05,173.12,CUST-1036
ORD-02383,2024-01-26,Technology,Copiers,Central,Standard Class,126.06,5,0.3,43.73,CUST-1254
ORD-02164,2024-01-26,Furniture,Furnishings,West,Same Day,98.58,1,0.2,-12.83,CUST-1095
ORD-02298,2024-01-27,Furniture,Tables,West,Second Class,922.84,2,0.09,133.29,CUST-1608
ORD-01795,2024-01-27,Technology,Phones,Central,Same Day,116.33,10,0.01,31.77,CUST-1997
ORD-02769,2024-01-27,Office Supplies,Binders,South,Same Day,354.58,3,0.03,-42.15,CUST-1707
ORD-02695,2024-01-28,Furniture,Furnishings,East,Same Day,282.48,10,0.23,-61.26,CUST-1677
ORD-02663,2024-01-28,Office Supplies,Binders,Central,Standard Class,483.46,4,0.13,130.31,CUST-1342
ORD-02827,2024-01-28,Furniture,Bookcases,South,First Class,856.91,10,0.22,-163.01,CUST-1753
ORD-00759,2024-01-29,Furniture,Chairs,East,Second Class,860.42,4,0.14,-136.06,CUST-1247
ORD-00072,2024-01-29,Technology,Accessories,Central,First Class,974.55,9,0.09,403.75,CUST-1653
ORD-02433,2024-01-29,Furniture,Tables,South,Second Class,806.8,6,0.19,218.98,CUST-1966
ORD-00685,2024-01-29,Technology,Accessories,West,Standard Class,180.06,9,0.0,50.47,CUST-1946
ORD-01285,2024-01-30,Technology,Phones,Central,Second Class,316.22,4,0.05,56.15,CUST-1746
ORD-01480,2024-01-30,Furniture,Chairs,West,Same Day,871.09,10,0.21,-56.08,CUST-1023
ORD-02518,2024-01-31,Office Supplies,Binders,South,First Class,54.88,7,0.19,-1.95,CUST-1308
ORD-01927,2024-02-01,Technology,Phones,East,Same Day,840.54,1,0.11,-221.06,CUST-1782
ORD-01865,2024-02-01,Technology,Copiers,West,First Class,155.61,8,0.29,12.15,CUST-1261
ORD-02192,2024-02-02,Furniture,Chairs,West,Second Class,656.09,9,0.13,249.98,CUST-1295
ORD-02697,2024-02-02,Office Supplies,Paper,East,First Class,784.63,8,0.19,-180.59,CUST-1139
ORD-01426,2024-02-02,Technology,Machines,West,Standard Class,852.74,4,0.15,352.0,CUST-1925
ORD-01872,2024-02-03,Furniture,Furnishings,South,Same Day,385.61,1,0.27,29.93,CUST-1646
ORD-02036,2024-02-03,Furniture,Furnishings,West,Second Class,665.3,3,0.09,245.11,CUST-1059
ORD-00999,2024-02-05,Office Supplies,Storage,West,First Class,68.98,6,0.11,23.3,CUST-1797
ORD-02661,2024-02-05,Technology,Copiers,West,Second Class,936.81,5,0.28,329.92,CUST-1388
ORD-00397,2024-02-06,Furniture,Furnishings,South,First Class,561.56,1,0.25,140.43,CUST-1986
ORD-03029,2024-02-06,Office Supplies,Paper,East,Second Class,59.22,7,0.18,22.43,CUST-1532
ORD-02905,2024-02-06,Technology,Copiers,South,Standard Class,834.54,6,0.28,-133.29,CUST-1418
ORD-01968,2024-02-07,Furniture,Chairs,South,Standard Class,920.56,3,0.28,-156.74,CUST-1747
ORD-00798,2024-02-08,Furniture,Tables,East,Standard Class,788.89,4,0.25,219.59,CUST-1593
ORD-02301,2024-02-08,Technology,Accessories,East,First Class,739.95,2,0.17,-63.57,CUST-1781
ORD-00446,2024-02-08,Technology,Copiers,East,Second Class,454.71,8,0.26,-55.03,CUST-1850
ORD-01429,2024-02-09,Office Supplies,Storage,West,Same Day,386.22,1,0.21,-25.56,CUST-1384
ORD-02543,2024-02-09,Technology,Accessories,South,Standard Class,578.1,2,0.04,-112.11,CUST-1292
ORD-03112,2024-02-09,Furniture,Bookcases,East,First Class,518.13,10,0.09,61.4,CUST-1262
ORD-03287,2024-02-09,Furniture,Bookcases,Central,Standard Class,196.93,8,0.24,-40.84,CUST-1707
ORD-02345,2024-02-09,Office Supplies,Paper,Central,Second Class,645.17,8,0.19,-119.64,CUST-1429
ORD-02096,2024-02-09,Technology,Phones,South,Second Class,420.3,1,0.01,85.22,CUST-1208
ORD-03002,2024-02-10,Furniture,Tables,South,Second Class,744.34,8,0.22,-64.43,CUST-1332
ORD-01225,2024-02-11,Furniture,Chairs,West,Standard Class,465.75,4,0.09,103.72,CUST-1965
ORD-01189,2024-02-11,Technology,Phones,South,Same Day,51.86,5,0.09,-5.47,CUST-1790
ORD-01642,2024-02-11,Furniture,Furnishings,Central,Same Day,774.83,8,0.28,223.03,CUST-1118
ORD-01679,2024-02-13,Office Supplies,Paper,South,Same Day,434.38,1,0.16,-81.45,CUST-1764
ORD-00114,2024-02-13,Furniture,Bookcases,West,Second Class,789.11,4,0.02,241.38,CUST-1212
ORD-01063,2024-02-13,Office Supplies,Binders,East,Same Day,291.52,7,0.01,36.59,CUST-1540
ORD-02149,2024-02-13,Technology,Machines,East,First Class,759.98,5,0.23,182.89,CUST-1035
ORD-01830,2024-02-14,Furniture,Bookcases,Central,Standard Class,500.64,5,0.04,-106.75,CUST-1325
ORD-02615,2024-02-14,Furniture,Chairs,West,Same Day,831.88,4,0.17,89.97,CUST-1929
ORD-00217,2024-02-14,Office Supplies,Art,East,Second Class,582.53,1,0.13,131.92,CUST-1554
ORD-00974,2024-02-14,Furniture,Bookcases,West,Standard Class,54.99,10,0.02,25.76,CUST-1194
ORD-02272,2024-02-14,Furniture,Chairs,East,First Class,569.39,3,0.18,-78.1,CUST-1790
ORD-02919,2024-02-15,Furniture,Chairs,East,Same Day,676.81,4,0.24,164.26,CUST-1447
ORD-01827,2024-02-15,Technology,Phones,East,Standard Class,83.11,2,0.18,20.81,CUST-1742
ORD-01884,2024-02-15,Furniture,Tables,South,Standard Class,460.01,9,0.17,139.29,CUST-1191
ORD-02822,2024-02-16,Office Supplies,Storage,South,Standard Class,89.71,10,0.13,-10.94,CUST-1090
ORD-03110,2024-02-16,Technology,Copiers,West,Same Day,260.85,2,0.13,61.99,CUST-1501
ORD-00654,2024-02-16,Office Supplies,Storage,West,Same Day,353.23,8,0.22,-77.92,CUST-1193
ORD-00783,2024-02-17,Furniture,Bookcases,West,Standard Class,729.24,9,0.03,-178.29,CUST-1381
ORD-01664,2024-02-17,Technology,Phones,South,Same Day,314.65,5,0.26,25.7,CUST-1983
ORD-03162,2024-02-17,Office Supplies,Binders,South,First Class,437.35,8,0.01,119.95,CUST-1979
